abandon vt.；丢弃；放弃，抛弃
substantial adj.；物质的；坚固的
substitute n.；代替人；vt.；用…代替
subtract vt.；减，减去，去掉
suburb n.；郊区，郊外，近郊
subway n.；地道；地下铁路
succeed vt.；继…之后；vi.；成功
success n.；成功，成就，胜利
successful adj.；成功的，结果良好的
successfully adv.；成功地
succession n.；连续；继任，继承
successive adj.；连续的；接连的
such adj.；这样的；如此的…
suck vt.；吸，吮，啜；吸收
sudden adj.；突然的，意外的
suddenly adv.；突然地
suffer vt.；遭受；忍受；容许
sufficient adj.；足够的，充分的
sufficiently adv.；足够地，充分地
sugar n.；糖
suggest vt.；建议；暗示，启发
suggestion n.；建议，意见；暗示
suit n.；起拆，诉讼；vt.；适合
suitable adj.；合适的；适宜的
sulphur n.；硫(磺)，硫黄
sum n.；总数；金额；vi.；共计
summarize vt.；概括，概述，总结
summary n.；摘要，概要，一览
summer n.；夏，夏季
sun n.；太阳，日
Sunday n.；星期日，礼拜日
sunlight n.；日光，阳光
sunny adj.；阳光充足的；快活的
sunrise n.；日出(时分)
sunset n.；日落(时分)
sunshine n.(直射)日光，阳光
super adj.；极好的，超级的
superficial adj.；表面的；肤浅的
superior adj.；较高的；优越的
supermarket n.；超级市场
supper n.；晚饭，晚餐
supplement n.&vt.；增补，补充
supply vt.&n.；供给，供应
support vt.；支撑；支持；供养
suppose vt.；猜想；假定；让
supreme adj.；最高的；最大的
sure adj.；确信的；确实的
surely adj.；确实；稳当地
surface n.；地面，表面；外表
surgeon n.；外科医师；军医
surgery n.；外科，外科手术
surname n.；姓
surprise vt.；使惊奇；突然袭击
surprising adj.；惊人的；出人意外的
surprisingly adv.；惊人地
surrender vt.；交出；vi.；投降
surround vt.；围，围绕，圈住
surroundings n.；周围的事物，环境
survey vt.；俯瞰；检查；测量
survive vt.；幸免于；vi.；活下来
suspect vt.；怀疑；vi.；疑心
suspend vt.；吊，悬；推迟
suspicion n.；怀疑，疑心，猜疑
sustain vt.；支撑；供养；忍受
swallow n.；燕子
swallow vt.&vi.；吞下，咽下
swamp n.；沼泽，沼泽地
swan n.；天鹅
swarm n.；一大群；vi.；密集
sway vi.；摇动；vt.；摇；摇动
swear vt.；宣(誓)vi.；诅咒
sweat n.；汗；vi.；出汗
sweater n.；厚运动衫，毛线衫
sweep vt.；扫；刮起；扫过
sweet adj.；甜的；愉快的
swell vi.；膨胀；隆起；增长
sail n.；帆；船；vi.；航行
sailor n.；水手，海员，水兵
saint n.；圣徒；基督教徒
sake n.；缘故，理由
salad n.；色拉；莴苣，生菜
salary n.；薪金，薪水
sale n.；卖；拍卖；销售额
salesman n.；售货员，推销员
salt n.；盐；盐类；vt.；加盐于
salute n.；招呼，行礼；vi.；行礼
same adj.；同一的，相同的
sample n.；样品；实例，标本
sand n.；沙，沙子；沙滩
sandwich n.；三明治；vt.；夹入
sandy n.；沙的，含沙的
satellite n.；卫星；人造卫星
satisfaction n.；满意；快事；赔偿
satisfactory adj.；令人满意的，良好的
satisfy vt.；满足；使满意
Saturday n.；星期六
sauce n.；调味汁，酱汁
saucer n.；茶托，浅碟
sausage n.；香肠，腊肠
save vt.；救；节省；储蓄
saving n.；搭救；节约；存款
saw n.；锯子；vt.；锯，锯开
say vt.；说；说明；比如说
scale n.；天平，磅秤，秤
scale n.；标度；比例；大小
scan vt.；细看；浏览；扫描
scar n.；伤疤，伤痕；创伤
scarce adj.；缺乏的；希有的
scarcely adv.；仅仅；几乎不
scare vt.；惊吓；vi.；受惊
scarf n.；围巾，头巾；领带
scatter vt.；使消散；撒；散播
scene n.；发生地点；道具
scenery n.；舞台布景；风景
scent n.；气味，香味；香水
schedule n.；时间表；计划表
scheme n.；计划，规划；诡计
scholar n.；学者(尤指文学方面
scholarship n.；学业成绩；奖学金
school n.；学校；学院；学派
science n.；科学，科学研究
scientific adj.；科学(上)的
sense n.；感官；感觉；见识
sensible adj.；感觉得到的；明智的
sensitive adj.；敏感的；灵敏的
sentence n.；判决；句子；vt.；宣判
separate adj.；分离的；个别的
separately adv.；分离地
separation n.；分离，分开；分居
September n.；九月
sequence n.；连续，继续；次序
series n.；连续，系列；丛书
serious adj.；严肃的；认真的
seriously adv.；严肃地，认真地
servant n.；仆人，佣人，雇工
serve vt.；为…服务；招待
service n.；服务；行政部门
session n.；会议，一段时间
set vt.；放；安置；vi.；落
setting n.；安装，调整；环境
settle vt.；安排；安放；调停
settlement n.；解决；殖民，殖民地
seven num.；七，七个(人或物)
seventeen num.；十七，十七个
seventh num.；第七；七分之一
seventy num.；七十，七十个
several adj.；几个，数个
severe adj.；严格的；严厉的
severely adv.；严厉地，严格地
sew vt.；缝制；vi.；缝纫
sex n.；性别，性
shade n.；荫；遮光物；vi.；荫蔽
shadow n.；阴影，阴，影子
shady adj.；成荫的，阴凉的
shake vt.；摇，使震动；n.；摇动
shall aux.v.；将要；必须；应
shallow adj.；浅的；浅薄的
shame n.；羞耻，羞愧；羞辱
shampoo vt.；用洗发剂洗；n.；洗头
shape n.；形状；情况；vt.；形成
share n.；份；份额；股份
sharp adj.；锋利的；敏锐的
sharpen vt.；削尖，使敏锐
sharply adv.；锐利地，敏锐地
shave vt.；剃，刮；vi.；修面
she pron.(主格)她
shear vt.；剪；剥夺；vi.；剪
shed vt.；流出；散发；脱落
significant n.；有意义的；重要的
silence n.；沉默；vt.；使沉默
silent adj.；沉默的；寂静无声的
silk n.；蚕丝，丝，丝织品
silly adj.；傻的，愚蠢的
silver n.；银；银子；银器
similar adj.；相似的，类似的
similarly adv.；类似地，相似地
simple adj.；简单的；朴素的
simplicity n.；简单，简易；朴素
simplify vt.；简化，使单纯
simply adv.；简单地；朴素地
sin n.；罪，罪孽；vi.；犯罪
since conj.；从…以来；因为
sincere adj.；真诚的；真挚的
sing vi.&vt.；唱，演唱
singer n.；歌唱家，歌手
single adj.；单一的；独身的
singular adj.；单一的；非凡的
sir n.；先生，阁下；…爵士
sister n.；姐妹，姐，妹
sit vi.；坐，就坐；vt.；使坐
site n.；地点，地基；场所
situation n.；位置；处境；形势
six num.；六，六个
sixteen num.；十六，十六个
sixth num.；第六；六分之一
sixty num.；六十，六十个
size n.；大小；体积；尺码
skate n.；冰鞋；滑冰；vi.；滑冰
sketch n.；略图；速写；概略
ski n.；滑橇；vi.；滑雪
skill n.；技能，技巧；熟练
skilled adj.；有技能的，熟练的
skillful adj.；灵巧的，娴熟的
skin n.；皮；兽皮；外皮
skirt n.；女裙；边缘；郊区
sky n.；天，天空
slam vt.；使劲关，砰地放下
slave n.；奴隶；苦工
slavery n.；奴隶制度；苦役
sleep n.；睡眠；vi.；睡；vt.；睡
sleepy adj.；想睡的；寂静的
sleeve n.；袖子，袖套
sole n.；脚底，鞋底，袜底
solely adv.；单独地，唯一地
solemn adj.；庄严的；隆重的
solid adj.；固体的；n.；固体
soluble adj.；可溶的；可以解决的
solution n.；解决，解答；溶解
solve vt.；解答，解释，解决
some adj.&pron.；一些，若干
somebody pron.；某人，有人
somehow adv.；由于某种原因
someone pron.；某人，有人
something pron.；某事，某物
sometime adv.；在某一时候；从前
sometimes adv.；不时，有时
somewhat pron.；一点儿；adv.；有点
somewhere adv.；在某处；n.；某地
son n.；儿子
song n.；歌唱；歌曲，歌词
soon adv.；不久；早，快
sophisticated adj.；老于世故的；高级的
sore adj.；痛的；恼火的；n.；疮
sorrow n.；悲痛，悲哀，悲伤
sorry adj.；难过的；对不起的
sort n.；种类；类别；vt.；整理
soul n.；灵魂；精神；人
sound adj.；健康的；完好的
sound n.；声音；vi.；响，发声
soup n.；汤
sour adj.；酸的；脾气坏的
source n.；河的源头；根源
south n.；南，南方；adj.；南方的
southern adj.；南方的，南部的
southwest n.；西南；adj.；西南的
sow vt.；播(种)vi.；播种
space n.；空间；场地；空白
spacecraft n.；航天器，宇宙飞船
spaceship n.；航天飞船
spade n.；铲，铁锹
span n.；跨距；一段时间
spare vt.；节约；adj.；多余的
spark n.；火花，火星
sparkle vi.；发火花；vt.；使闪耀
squirrel n.；松鼠
stab vt.&vi.&n.；刺，戳
stability n.；稳定，稳定性，巩固
stable adj.；稳定的，不变的
stable n.；厩，马厩，牛棚
stack n.；堆，垛；vt.；堆积
stadium n.；露天大型运动场
staff n.；工作人员；参谋
stage n.；舞台；戏剧；阶段
stain vt.；沾污；给…着色
stair n.；楼梯
staircase n.；楼梯，楼梯间
stake n.；桩；赌金；奖品
stale n.；陈腐的；走了气的
stamp n.；戳子；邮票；标志
stand vi.；站；坐落；n.；架，台
standard n.；标准；adj.；标准的
standpoint n.；立场，观点
star n.；星；恒星；明星
stare vi.；盯，凝视
start vi.；跳起；出发；开始
startle vt.；使大吃一惊；n.；吃惊
starve vi.；饿死；vt.；使饿死
state n.；状态；国家；州
state vt.；陈述，说明，阐明
statement n.；陈述，声明
statesman n.；政治家，国务活动家
static adj.；静的；静态的
station n.；站，台，所，局
statistical adj.；统计的，统计学的
statue n.；塑像，雕像，铸像
status n.；地位，身分
stay vi.；停留；住；n.；逗留
steadily adv.；稳定地，不变地
steady adj.；稳固的；vt.；使稳定
steal vt.；偷，窍取
steam n.；蒸汽；vi.；蒸发；vt.；蒸
steamer n.；轮船，汽船
steel n.；钢，钢铁
steep adj.；险峻的，陡峭的
steer vt.&vi.；驾驶
stem n.；茎，(树)干；vi.；起源
step n.(脚)步；步骤；vi.；走
stern adj.；严厉的；坚定的
steward n.；乘务员，服务员
stewardess n.；空中小姐，女乘务员
stick n.；棍，棒；vt.；刺；粘贴
sticky adj.；粘性的；胶粘的
stiff adj.；硬的；僵直的
stiffen vt.；使硬；使僵硬
still adj.；静止的；n.；寂静
stimulate vt.；刺激，激励，激发
sting vt.；刺；刺痛；vi.&n.；刺
stir vt.；动；拨动；激动
stitch n.；一针；针脚；vt.；缝
stock n.；原料；库存品；股本
stocking n.；长(统)袜
stomach n.；胃；肚子；食欲
stone n.；石，石头；宝石
stony adj.；多石的；冷酷的
stool n.；凳子
stoop vi.；俯身；弯身；n.；弯腰
stop vt.；塞住；阻止；停止
storage n.；贮藏；贮藏量
store n.；贮藏；贮存品；商店
storey n.(层)楼
storm n.；风暴；暴(风)雨
stormy adj.；有暴风雨的；激烈的
story n.；故事，小说，传说
stove n.；炉，火炉，电炉
straight adj.；直的；正直的；adv.；直
strain vt.；拉紧；vi.；尽力
strange adj.；陌生的；奇怪的
stranger n.；陌生人；新来者
strap n.；带子；vt.；捆扎
strategy n.；战略；策略
straw n.；稻草，麦杆吸管
strawberry n.；草莓
stream n.；河；流；vi.&vt.；流
street n.；街，街道；行车道
strength n.；力，力量，力气
strengthen vt.；加强，巩固
stress n.；压力；重音；vt.；着重
stretch vt.；伸展；vi.；伸；n.；伸展
strict adj.；严格的；严谨的
strictly adv.；严格地，严谨地
strike vt.&vi.；打，击；n.；罢工
strip vt.；剥；夺去；n.；条带
stripe n.；条纹，条子
stroke n.；打，击；鸣声；中风
stroke vt.&n.；抚，摩，捋
swift adj.；快的；反应快的
swim vi.；游，游泳；眼花
swing vi.；摇摆；回转；n.；摇摆
Swiss adj.；瑞士的；n.；瑞士人
switch n.；开关；转换；vt.；转换
sword n.；剑，刀
symbol n.；象征；符号，记号
sympathetic adj.；同情的；和谐的
sympathize vi.；同情；同感，共鸣
sympathy n.；同情；一致，同感
synthetic adj.；综合的；合成的
systematic adj.；有系统的；有计划的
systematical adj.；有系统的；有计划的
table n.；桌子；餐桌；项目表
tablet n.；碑，匾；药片
tag n.；附加语；标签
tail n.；尾巴；末尾部分
tailor n.；裁缝；vt.；裁制衣服
take vt.；拿；抓；拿走；吃
tale n.；故事，传说
talent n.；天才；才能；人才
talk vi.；讲话；vt.；谈论
tall n.；高的，身材高的
tame adj.；驯服的；顺从的
tan n.；棕褐色；adj.；棕黄色的
tank n.；坦克；大容器，槽
tap vt.&vi.&n.；轻叩
tap n.；塞子；龙头；vt.；开发
tape n.；线带；磁带，录音带
target n.；靶，标的；目标
task n.；任务，工作，作业
taste vt.；尝；尝到；n.；味觉
tax n.；税，税款；负担
taxi n.；出租汽车
tea n.；茶；茶叶；茶树
teach vt.；讲；教育；vt.；教书
teacher n.；教师，老师，先生
teaching n.；教学，讲授；教导
team n.；队，组
tear n.；眼泪，泪珠
tear vt.；撕开，撕裂
technical adj.；技术的，工艺的
technician n.；技术员，技师
technique n.；技术，技巧；技能
technology n.；工艺学，工艺，技术
tedious adj.；冗长乏味的，沉闷的
there adv.；在那里；在那点上
thereby adv.；因此，从而，由此
therefore adv.；因此，所以
thermometer n.；温度计，寒暑表
these adj.&pron.；这些
they pron.(主格)他(她)们
thick adj.；厚的；密的；浓
thickness n.；厚(度)；密(度)
thief n.；窃贼，偷窃犯
thin adj.；薄的；淡的；vi.；变薄
thing n.；物；用品；事；情况
think vt.；想；想要；认为
third num.；第三；三分之一
thirdly adv.；第三
thirst n.；渴，口渴；渴望
thirsty adj.；渴的；渴望的
thirteen num.；十三，十三个
thirty num.；三十，三十个
this adj.；这；今；pron.；这
thorn n.；刺，棘；荆棘；蒺藜
thorough adj.；彻底的；详尽的
though conj.；虽然；adv.；可是
thought n.；思想；思维；想法
thoughtful adj.；沉思的；体贴的
thousand num.；千，千个；n.；无数
thread n.；线；丝；螺纹；头绪
threat n.；威胁，恐吓，凶兆
threaten vt.&vi.；威胁，恐吓
three num.；三，三个
thrill n.；一阵激动
thrive vi.；兴旺，繁荣，旺盛
throat n.；咽喉，喉咙；嗓音
throne n.；宝座，御座；王位
throng n.；群，人群；vt.；挤满
through prep.；穿过；adv.；从头到尾
throughout prep.；遍及；adv.；到处
throw vt.；投，掷，抛，扔
thrust vt.；插，刺；n.；插；讽刺
thumb n.(大)拇指
thunder n.；雷；vi.；打雷；vt.；吼出
Thursday n.；星期四
thus adv.；如此，这样；因而
tick n.；滴答声；记号
ticket n.；票，券；纲领；传票
tide n.；潮，潮汐；潮流
tough adj.；坚韧的；健壮的
tour n.&vi.；旅行，游历
tourist n.；旅游者，观光者
toward prep.；向；对于；接近
towards prep.；向；对于；接近
towel n.；毛巾，手巾
tower n.；塔；vi.；屹立，高耸
town n.；镇，市镇，城镇
toy n.；玩具，玩物
trace n.；痕迹；丝毫；vt.；跟踪
track n.；行踪；路径；轨道
tractor n.；拖拉机；牵引车
trade n.；贸易；职业；vi.；交易
tradition n.；传统，惯例
traditional adj.；传统的，惯例的
traffic n.；交通，通行；交通量
tragedy n.；悲剧；惨事，惨案
trail n.；痕迹；小径；vt.；跟踪
train vt.；培养；n.；列车；队列
training n.；训练，锻炼，培养
traitor n.；叛徒，卖国贼
tram n.(有轨)电车
tramp n.；流浪者，游民
transfer vt.；转移；调动；vi.；转移
transform vt.；改变；改造；变换
transformation n.；变化；改造；转变
transformer n.；变压器，转换器
transistor n.；晶体管
translation n.；翻译；译文，译本
transmission n.；传送；传动；发射
transmit vt.；传送，传达；发射
transparent adj.；透明的；易识破的
transport vt.；运输；n.；运输
transportation n.；运输，运送，客运
trap n.；陷阱；诡计；vt.；诱骗
travel vi.&vi.&n.；旅行
tray n.(浅)盘，托盘，碟
treason n.；谋反，通敌，叛国罪
treasure n.；财富；珍宝；vt.；珍视
treat vt.；对待；处理；n.；款待
treatment n.；待遇；治疗，疗法
treaty n.；条约；协议，协定
tree n.；树
tremble vi.；发抖，哆嗦；摇动
tremendous adj.；极大的，非常的
trend vi.；伸向；倾向；n.；倾向
typewriter n.；打字机
typhoon n.；台风
typical adj.；典型的，代表性的
typist n.；打字员
tyre n.；轮胎，车胎
twinkle vi.；闪烁，闪耀
twist vt.；捻；拧；vi.&n.；扭弯
two num.；二，两个
type n.；型，类型；vi.；打字
teenager n.；青少年
telegram n.；电报
telegraph n.；电报机；电报
telephone n.；电话；vi.；打电话
telescope n.；望远镜
television n.；电视；电视机
tell vt.；讲述；吩咐；辨别
temper n.；韧度；心情，情绪
temperature n.；温度；体温
temple n.；圣堂，神殿，庙宇
temporary adj.；暂时的，临时的
tempt vt.；引诱，诱惑；吸引
temptation n.；诱惑，引诱
ten num.；十，十个
tenant n.；承担人，房客，佃户
tend vt.；照管，照料，护理
tend vi.；走向，趋向；倾向
tendency n.；趋向，趋势，倾向
tender adj.；嫩的；脆弱的
tennis n.；网球，网球运动
tense n.；时态，时
tense adj.；拉紧的，绷紧的
tent n.；帐篷
tenth num.；第十；十分之一
term n.；期；学期；条件；词
terminal adj.；末端的；n.；末端
terrible adj.；可怕的；极度的
terrific adj.；可怕的；极大的
territory n.；领土，版图；领域
terror n.；恐怖，惊骇
test n.&vt.；试验；检验
text n.；原文，本文；课文
textbook n.；课本，教科书
textile n.；纺织品；adj.；纺织的
than conj.(比较级)比
thank vt.；谢谢，感谢；n.；感谢
that adj.；那；pron.；那；adv.；那样
the art.(定冠词)这，那
theatre n.；戏院；戏剧；教室
their pron.；他(她、它)们的
theirs pron.；他(她)们的东西
them pron.(宾格)他们
themselves pron.；他们自己
then adv.；当时；然后；那么
theoretical adj.；理论(上)的
theory n.；理论；学说；意见
tidy adj.；整洁的；整齐的
tie n.；领带；联系；vt.；系
tiger n.；虎
tight adj.；紧的；紧身的
till prep.conj.；直到…为止
timber n.；木材，木料
time n.；时间；时机；次，回
timetable n.；时间表，时刻表
timid adj.；胆怯的；羞怯的
tin n.；锡；罐头
tiny adj.；微小的，极小的
tip n.；梢，末端，尖，尖端
tip vt.；轻击；vi.；给小费
tire vi.；疲劳，累；厌倦
tired adj.；疲劳的；厌倦的
tissue n.；薄绢；薄纸；组织
title n.；标题，题目；称号
to prep.；到，向，达到
toast n.；烤面包；vt.；烘，烤
toast n.；祝酒；祝酒词
tobacco n.；烟草，烟叶
today adv.；在今天；现在
toe n.；脚趾，足尖
together adv.；共同，一起
toilet n.；厕所，盥洗室，浴室
tolerance n.；忍受，容忍；公差
tolerate vt.；忍受，容忍，宽恕
tomato n.；番茄，西红柿
tomb n.；坟，冢
tomorrow adv.；在明天；n.；明天
ton n.；吨；大量
tone n.；音；腔调；声调
tongue n.；舌，舌头；语言
tonight adv.；在今夜；n.；今夜
too adv.；也，还；太，过分
tool n.；工具，器具，用具
tooth n.；牙齿
top n.；顶；首位；adj.；顶的
topic n.；题目，论题，话题
torch n.；火炬，火把；手电筒
torrent n.；奔流，激流，洪流
tortoise n.；龟，乌龟
torture n.；拷问；折磨；vt.；拷打
toss vt.&vi.；扔，抛，掷
total adj.；总的；vi.；合计，总共
touch vt.；触摸；触动；n.；触
trial n.；试，试验；审判
triangle n.；三角(形)
tribe n.；部落，宗族
trick n.；诡计；窍门；vt.；哄骗
trifle n.；小事，琐事；少许
trim adj.；整齐的；vt.；使整齐
trip vi.；绊；失足；vt.；绊倒
triumph n.；凯旋；胜利；vi.；成功
troop n.；军队；一群，大量
tropical adj.；热带的
trouble n.；烦恼；困难；vi.；烦恼
troublesome adj.；令人烦恼的；麻烦的
trousers n.；裤子，长裤
truck n.；卡车，载重汽车
true adj.；真的；忠实的
truly adv.；真正地；忠实地
trunk n.；树干；大衣箱，皮箱
trust n.；信任；vt.；相信；委托
truth n.；真理；真实；真实性
try vt.；试；审问；vi.；尝试
tub n.；桶，盆，浴缸，浴盆
tube n.；管；电子管，显像管
tuck vt.；折短，卷起；塞
Tuesday n.；星期二
tuition n.；教，教诲；学费
tumble vi.；摔倒，跌倒；打滚
tune n.；调子；和谐；vt.；调谐
tunnel n.；隧道，坑道，地道
turbine n.；叶轮机，汽轮机
turbulent adj.；骚动的，骚乱的
turkey n.；火鸡；火鸡肉
turn vt.；转；翻；vi.；转动
turning n.；旋转；变向；转弯处
turnip n.；萝卜，芜菁
tutor n.；家庭教师；导师
twelfth num.；第十二
twelve num.；十二，十二个
twentieth num.；第二十
twenty num.；二十，二十个
twice adv.；两次，两倍
twin adj.；孪生的；n.；孪生儿
ugly adj.；丑陋的；可怕的
ultimate adj.；最后的，最终的
ultimately adv.；最终，最后
umbrella n.；伞，雨伞
unable adj.；不能的，不会的
unbearable adj.；难堪的，忍受不了的
uncertain adj.；无常的；不确定的
uncle n.；伯父，叔父，舅父
uncomfortable adj.；不舒服的；不自在的
unconscious adj.；不省人事的
uncover vt.；揭开…的盖子
under prep.；在…下面；低于.
undergo vt.；经历，经受，忍受
undergraduate n.；大学肆业生
underground adj.；地下的；秘密的
underline vt.；划线于…之下
underneath adv.；在下面，在底下
understand vt.；懂；获悉；vi.；懂得
understanding n.；理解；理解力；协定
undertake vt.；从事；承担；保证
undertaking n.；任务，事业；许诺
undo vt.；解开，打开；取消
undoubtedly adv.；无容置疑，肯定地
uneasy adj.；心神不安的，忧虑的
unexpected adj.；想不到的，意外的
unfair adj.；不公平的，不公正的
unfortunate adj.；不幸的；可取的
unfortunately adv.；不幸地
unhappy adj.；不幸福的，不快乐的
uniform adj.；一样的；n.；制服
union n.；联合；团结；协会
unique adj.；唯一的，独一无二的
unit n.；单位；单元；部件
unite vi.；联合；vt.；使联合
unity n.；单一；统一；团结
universal adj.；宇宙的；普遍的
universe n.；宇宙，世界
university n.；大学，综合性大学
unjust adj.；非正义的；不公平的
unkind adj.；不仁慈的，不和善的
unknown adj.；不知道的；未知的
unless conj.；除非，如果不
unlike adj.；不同的；prep.；不象…
unlikely adj.；未必的，未必可能的
unload vt.；卸(货)vi.；卸货
unlucky adj.；不幸的；不吉的
unnecessary adj.；不必要的，多余的
unpleasant adj.；令人不快的，讨厌的
unsatisfactory adj.；不能令人满意的
unstable adj.；不稳固的；不稳定的
unsuitable adj.；不合适的，不适宜
until prep&conj.；直到…为止
unusual adj.；不平常的；独特的
unusually adj.；不平常地，非常
unwilling adj.；不愿意的
up adv.；向上；起床，起来
upon prep.；在…上；在…旁
upper adj.；上面的；地位较高的
upright adj.；垂直的；正直的
upset vt.；弄翻，打翻，倾覆
upside-down adj.；颠倒的，乱七八糟的
upstairs adv.；在楼上；adj.；楼上的
up-to-date adj.；直到最近的，现代的
upward adj.；向上的，上升的
vupwards adv.；趋向上升；以上
urge vt.；推进；催促；n.；冲动
urgent adj.；紧急的；强求的
us pron.(宾格)我们
usage n.；使用，对待；惯用法
use vt.；用；耗费；n.；用
used vi.；过去常常
used adj.；旧的；习惯于…的
useful adj.；有用的，有益的
useless adj.；无用的，无价值的
user n.；用户，使用者
usual adj.；通常的；平常的
usually adv.；通常
utility n.；效用，有用，实用
utilize vt.；利用
utmost adj.；最远的；n.；极限
utter adj.；完全的，彻底的
utter vt.；发出，说，讲
vacant adj.；空的；未被占用的
vacation n.；假期，休假
vacuum n.；真空；真空吸尘器
vague adj.；模糊的，含糊的
vain adj.；徒劳的；自负的
valid adj.；有效的；正当的
valuable adj.；值钱的；有价值的
value n.；价值；价格；vt.；评价
van n.；大篷车，运货车
vanish vi.；突然不见，消失
vanity n.；虚荣心，虚夸
vapour n.；汽，蒸气
variable adj.；易变的；n.；变量
variation n.；变化，变动；变异
variety n.；多样化；种类；变种
various adj.；各种各样的，不同的
vary vt.；改变；使多样化
vase n.；瓶，花瓶
vast adj.；巨大的；大量的
vegetable n.；植物；蔬菜
vehicle n.；车辆，机动车
veil n.；面纱，面罩；遮蔽物
velocity n.；速度，速率
velvet n.；丝绒，天鹅绒
venture n.&vi.；冒险；vt.；敢于
verb n.；动词
verify vt.；证实，查证；证明
version n.；译文；说法；改写本
vertical adj.；垂直的，竖式的
very adv.；很；完全；adj.；真的
vessel n.；容器；船，飞船；管
vest n.；汗衫；背心；内衣
veteran n.；老兵，老手
vex vt.；使烦恼，使恼火
via prep.；经过；通过
video adj.；电视的；n.；电视
violent adj.；猛烈的；狂暴的
violet n.；紫罗兰
violin n.；小提琴
virtually adv.；实际上，事实上
virtue n.；善；美德；优点
visible adj.；可见的，看得见的
vision n.；视；想象力；梦幻
visit vt.&n.；访问，参观
visitor n.；访问者；游客
visual adj.；看的；看得见的
vital adj.；生命的；有生命力的
vitamin n.；维生素，维他命
vivid adj.；鲜艳的；生动的
vocabulary n.；词汇表；词汇，语汇
voice n.；说话声；意见；语态
volcano n.；火山
volleyball n.；排球，排球运动
volt n.；伏特，伏
voltage n.；电压
volume n.；卷，册；容积；音量
voluntary adj.；自愿的，志愿的
vote n.；选举，投票，表决
voyage n.&vi.；航海，航空
view n.；看；视力；风景
viewpoint n.；观点，看法，见解
vigorous adj.；朝气蓬勃的
village n.；乡村，村庄
vine n.；葡萄树
vinegar n.；醋
violence n.；猛烈，激烈；暴力
vibrate vt.；使颤动；vi.；颤动
vibration n.；颤动，振动；摆动
vice n.；罪恶；恶习；缺点
vice n.(老)虎钳
victim n.；牺牲者，受害者
victorious adj.；胜利的，得胜的
victory n.；胜利，战胜
wage n.；工资，报酬
wage vt.；开展(运动)
waggon n.；四轮运货马车
waist n.；腰，腰部
wait vi.；等，等候；n.；等待
waiter n.；侍者，服务员
wake vi.；醒，醒来；vt.；唤醒
waken vi.；醒来；vt.；弄醒
walk vi.&n.；走，步行
wall n.；墙，壁，围墙，城墙
wallet n.；钱包，皮夹子
wander vi.；漫游；迷路；离题
want vt.；要；n.；需要；缺乏
war n.；战争；冲突，斗争
warm adj.；温暖的；热烈的
warmth n.；暖和，温暖；热烈
warn vt.；警告；vi.；发生警告
wash vt.；洗；冲出；vi.；洗涤
waste n.；浪费；废物；垃圾
watch vt.&vi.；观看；n.；手表
water n.；水；vt.；使湿，灌溉
waterfall n.；瀑布
waterproof adj.；不透水的，防水的
while conj.；当…的时候；而
whilst conj.&n.；当…的时候
whip vt.；鞭笞；搅打；n.；鞭子
whirl vt.；使回旋；vi.&n.；回旋
whisky n.；威士忌酒
whisper vt.；低声地讲；vi.；低语
whistle n.；口哨；vi.；吹口哨
white adj.；白的；n.；白色
whitewash vt.；粉刷，涂白
who pron.；谁；…的人
whoever pron.；谁；无论谁
whole adj.；完整的；n.；全部
wholly adv.；完全地，全部
whom pron.(宾格)谁
whose pron.；谁的；哪个人的
why adv.；为什么
wicked adj.；坏的；令人厌恶的
wide adj.；宽阔的；adv.；全部地
widely adv.；广，广泛
widen vt.；加宽；vi.；变宽
widespread adj.；分布广的，普遍的
widow n.；寡妇
width n.；宽阔，广阔；宽度
wild adj.；野生的；野蛮的
will aux.v.；将要，会；愿
willing adj.；愿意的，心甘情愿的
win vi.；获胜，赢；vt.；赢得
wind n.；风；气息，呼吸
wind vt.；绕，缠绕；vi.；卷曲
window n.；窗子，窗户，窗口
wine n.；葡萄酒，果酒
wing n.；翼，翅膀，翅
winner n.；获胜者，优胜者
winter n.；冬天，冬季
wipe vt.&n.；揩，擦
wire n.；金属线；电缆；电信
wireless adj.；不用电线的，无线的
wisdom n.；智慧，才智；名言
wise adj.；有智慧的，聪明的
wish vt.；祝；想要；n.；希望
wit n.；智力，才智，智能
with prep.；和…一起；具有
withdraw vt.；收回；撤回；vi.；撤退
within prep.；在…里面
without prep.；无，没有，不
wreath n.；花环，花圈，花冠
wreck n.；失事；残骸；vt.；破坏
wrist n.；腕，腕关节
write vt.；书写；写；vi.；写
writer n.；作者，作家，文学家
writing n.；书写，写；著作
wrong adj.；错误的；adv.；错，不对
wave n.；波；波涛；vi.；波动
wavelength n.；波长
wax n.；蜡，蜂蜡
way n.；路；路线；方向
we pron.(主格)我们
weak adj.；弱的；软弱的
weaken vt.；削弱；vi.；变弱
weakness n.；虚弱，软弱；弱点
wealth n.；财富，财产；丰富
wealthy adj.；富的，富裕的
weapon n.；武器，兵器
wear vt.；穿着，戴；磨损
weary adj.；疲倦的；vt.；使疲乏
weather n.；天气
weave vt.；织，编；vi.；纺织
wedding n.；婚礼
Wednesday n.；星期三
weed n.；杂草，野草；vi.；除草
week n.；星期，周
weekday n.；周日，工作日
weekend n.；周末，周末假期
weekly adj.；每周的；adv.；每周
weep vi.；哭泣，流泪
weigh vt.；称…的重量；掂量
weight n.；重；砝码；重担
welcome int.&n.&vt.；欢迎
